Order_ID,Customer_ID,Restaurant_ID,Order_DateTime,Order_Date,Order_Month,Order_Hour,Day_Type,Cuisine,Meal_Type,Restaurant_Type,City,Payment_Mode,Order_Status,Base_Amount,Discount,Delivery_Fee,Tip_Amount,Total_Amount,Estimated_Delivery_Time,Actual_Delivery_Time,Delivery_Delay,Distance_km,Vehicle_Type,Customer_Rating,Delivery_Partner_Rating,Mood,Hunger_Level,Company,Rainy_Weather,Time_Taken_to_Order_min,Is_Repeat_Customer,Age,Gender,Age_Bucket,Is_Premium
ORD_000001,CUST_00587,REST_0045,2025-04-03 12:39:38,2025-04-03,2025-04,12,Weekday,Italian,Snacks,Quick Service,Chennai,UPI,Refunded,1779.25,266.89,52.19,30,1594.55,60,,,1.9,Car,,,Happy,Low,Friends,False,16,True,25,Male,25-34,True
ORD_000002,CUST_00776,REST_0128,2025-02-12 02:28:58,2025-02-12,2025-02,2,Weekday,Continental,Lunch,Quick Service,Delhi,Debit Card,Refunded,2141.4,107.07,19.87,0,2054.2,24,,,7.9,Scooter,,,Happy,Very High,Family,False,12,True,36,Female,35-44,False
ORD_000003,CUST_00092,REST_0008,2026-05-03 12:32:09,2026-05-03,2026-05,12,Weekend,Thai,Dinner,Fine Dining,Pune,Wallet,Cancelled,1019.71,0.0,20.74,20,1060.45,48,,,2.8,Bike,,,Happy,Medium,Family,False,16,True,53,Female,45-54,False
ORD_000004,CUST_00151,REST_0048,2025-04-16 15:51:57,2025-04-16,2025-04,15,Weekday,Italian,Snacks,Quick Service,Delhi,Debit Card,Delivered,460.16,92.03,51.02,20,439.15,54,68.0,14.0,7.9,Bike,,3.7,Neutral,High,Alone,True,3,True,37,Male,35-44,False
ORD_000005,CUST_01028,REST_0097,2025-09-11 16:45:28,2025-09-11,2025-09,16,Weekday,Chinese,Lunch,Casual Dining,Ahmedabad,UPI,Delivered,2469.25,123.46,29.94,10,2385.73,35,43.0,8.0,10.8,Bike,1.6,,Happy,High,Alone,False,13,True,62,Male,55+,False
ORD_000006,CUST_00880,REST_0003,2025-10-17 07:24:26,2025-10-17,2025-10,7,Weekday,Italian,Dinner,Casual Dining,Kolkata,UPI,Delivered,327.08,65.42,34.58,10,306.24,44,57.0,13.0,4.6,Bike,4.5,4.5,Tired,Low,Family,True,12,True,21,Other,18-24,True
ORD_000007,CUST_01060,REST_0059,2025-03-09 19:21:06,2025-03-09,2025-03,19,Weekend,Japanese,Dinner,Quick Service,Chennai,UPI,Delivered,1561.98,0.0,24.48,0,1586.46,39,40.0,1.0,4.8,Bike,2.2,4.7,Stressed,High,Colleagues,False,6,True,30,Female,25-34,False
ORD_000008,CUST_00231,REST_0145,2025-12-08 15:05:37,2025-12-08,2025-12,15,Weekday,Mexican,Dinner,Casual Dining,Chennai,Debit Card,Delivered,1006.58,251.64,41.72,0,796.66,27,30.0,3.0,5.2,Car,3.0,4.1,Happy,Medium,Partner,False,14,True,39,Female,35-44,False
ORD_000009,CUST_00746,REST_0014,2025-05-13 12:38:45,2025-05-13,2025-05,12,Weekday,Indian,Breakfast,Casual Dining,Mumbai,UPI,Delivered,1831.08,91.55,45.59,20,1805.12,50,51.0,1.0,2.2,Car,4.2,3.9,Happy,Medium,Family,False,12,True,60,Female,55+,False
ORD_000010,CUST_00765,REST_0023,2025-05-11 09:42:44,2025-05-11,2025-05,9,Weekend,Continental,Lunch,Casual Dining,Kolkata,Credit Card,Delivered,1680.93,84.05,39.16,30,1666.04,42,54.0,12.0,11.4,Bike,4.3,4.4,Neutral,High,Family,False,2,True,43,Female,35-44,False
ORD_000011,CUST_00418,REST_0003,2026-01-07 13:19:11,2026-01-07,2026-01,13,Weekday,Italian,Lunch,Casual Dining,Kolkata,UPI,Delivered,2306.22,0.0,39.89,0,2346.11,40,42.0,2.0,11.6,Bike,1.8,4.3,Happy,Medium,Partner,False,9,True,28,Female,25-34,False
ORD_000012,CUST_00535,REST_0125,2025-05-21 05:09:04,2025-05-21,2025-05,5,Weekday,Chinese,Lunch,Quick Service,Chennai,UPI,Delivered,217.79,0.0,35.06,30,282.85,31,26.0,-5.0,5.6,Car,1.4,3.9,Happy,Medium,Alone,True,18,True,49,Male,45-54,False
ORD_000013,CUST_00842,REST_0058,2025-02-08 08:42:21,2025-02-08,2025-02,8,Weekend,Japanese,Lunch,Casual Dining,Chennai,UPI,Refunded,2441.52,366.23,28.12,0,2103.41,42,,,9.5,Bike,,,Celebratory,Very High,Alone,False,14,True,49,Female,45-54,True
ORD_000014,CUST_00290,REST_0082,2025-06-07 18:10:11,2025-06-07,2025-06,18,Weekend,Continental,Snacks,Cloud Kitchen,Mumbai,Credit Card,Refunded,576.26,28.81,29.9,0,577.35,31,,,5.5,Bike,,,Neutral,High,Family,False,16,True,31,Female,25-34,False
ORD_000015,CUST_00116,REST_0089,2025-02-14 21:26:23,2025-02-14,2025-02,21,Weekday,Thai,Dinner,Quick Service,Delhi,Wallet,Delivered,1229.43,122.94,42.25,50,1198.74,22,28.0,6.0,8.9,Bike,4.4,5.0,Neutral,Very High,Friends,False,16,True,35,Male,35-44,False
ORD_000016,CUST_00434,REST_0149,2025-08-28 11:34:15,2025-08-28,2025-08,11,Weekday,Mexican,Lunch,Quick Service,Mumbai,UPI,Delivered,1062.89,106.29,41.02,10,1007.62,40,47.0,7.0,9.8,Bike,3.4,,Happy,High,Friends,False,20,True,63,Female,55+,False
